### GRB	ra	dec	Error radius	Trigger	T90	eT90	T90 start	flux64	err flux64	T50	eT50	T50 start
GRB220211047	207.17	39.97	8.66	59621.047093486	0.448	0.466	-0.384	12.7807	2.685	0.128	0.286	-0.064
GRB220321282	170.76	28.94	8.55	59659.282199098	2.24	1.404	-1.088	8.2268	1.0296	0.768	0.326	-0.512
GRB220407167	61.08	-13.91	8.82	59676.167154535	1.408	0.231	-1.472	8.8238	2.3934	0.768	0.231	-0.896
GRB220412713	320.794	-0.223	0.01	59681.7130676	0.16	0.072	-0.032	17.1978	1.2276	0.064	0.045	-0.032
GRB220510147	109.35	-11.86	8.75	59709.146601282	1.472	0.916	-0.64	12.4711	1.7408	0.128	0.091	-0.064
GRB220511571	287.446	17.739	0.01	59710.570797111	16.0	14.017	-11.712	23.295	2.1702	1.472	0.091	0.512
GRB220520876	182.21	13.5	11.87	59719.87613093	1.28	0.345	-0.768	3.8278	0.7698	0.512	0.231	-0.384
GRB220528259	311.21	24.3	4.91	59727.258882101	0.576	0.091	-0.064	8.1674	1.0789	0.256	0.143	0.128
GRB220610906	160.73	24.81	8.25	59740.90598299	1.408	0.202	-0.064	5.0777	0.9437	0.896	0.453	0.128
GRB220617772	156.96	15.53	0.09	59747.771677112	0.704	0.231	-0.128	10.1034	1.2697	0.384	0.091	0.0
GRB220618761	90.64	-21.81	14.94	59748.760821326	0.064	0.885	0.0	1.3854	1.5331	0.032	0.16	0.0
GRB220620016	142.63	58.69	9.23	59750.015811358	0.064	1.083	-0.064	3.4166	0.9074	0.032	0.072	-0.032
GRB220623649	216.11	50.15	4.06	59753.64856981	1.024	0.272	-0.192	5.2522	0.9989	0.576	0.202	0.128
GRB220624316	295.11	52.68	17.34	59754.315926538	2.176	1.946	-0.832	3.235	1.1172	0.768	0.854	-0.64
GRB220702569	160.01	6.5	11.46	59762.569163646	3.84	0.81	-0.768	2.9542	1.0269	2.304	1.145	-0.256
GRB220711279	96.13	33.94	16.85	59771.278560511	1.472	0.143	-0.064	9.1613	1.0348	0.32	0.264	-0.064
GRB220728681	5.41	36.18	15.25	59788.681010923	1.152	0.373	-1.216	5.9463	0.9158	0.256	0.091	-0.32
GRB220729429	316.69	-4.17	11.34	59789.428836929	0.96	0.916	-0.512	5.0787	1.2195	0.384	0.091	0.0
GRB220823145	82.94	2.44	3.01	59814.145050759	1.088	0.771	-0.768	3.3327	0.9458	0.448	0.231	-0.384
GRB220912963	67.15	30.97	12.72	59834.963368825	2.496	0.607	-1.088	4.3937	1.3416	0.256	1.026	-0.064
GRB221004622	356.83	57.71	9.97	59856.622359991	1.536	0.815	-0.96	3.64	1.0866	0.64	0.231	-0.448
GRB221014021	85.91	17.83	14.99	59866.020674677	0.32	1.032	-0.384	2.6276	0.9087	0.128	0.286	-0.32
GRB221022815	118.342	-5.117	0.08	59874.814971668	6.912	4.419	-2.816	8.209	2.2799	2.304	1.864	-2.048
GRB221025040	133.4	11.0	1.3	59877.040490958	0.448	0.143	-0.064	13.3003	0.9171	0.256	0.143	0.0
GRB221120895	41.3225	43.197	0.01	59903.895461232	0.64	0.264	-0.064	7.4484	0.9083	0.128	0.091	0.32
GRB221127352	204.42	47.79	13.27	59910.35220504	0.512	0.389	-0.064	8.433	1.3572	0.32	0.231	-0.064
