### GRB	ra	dec	Error radius	Trigger	T90	eT90	T90 start	flux64	err flux64	T50	eT50	T50 start
GRB180929453	244.69	-8.95	8.4	58390.453170363	2.944	0.345	-0.256	5.369	1.1554	2.496	0.272	-0.064
GRB181002617	270.41	-6.49	7.78	58393.616520157	1.664	0.202	-0.064	5.6275	1.0049	0.96	0.091	0.064
GRB181016718	11.43	22.38	14.62	58407.717655133	0.08	0.788	-0.032	7.2417	1.4274	0.032	0.072	-0.032
GRB181121307	130.95	31.5	18.31	58443.306588746	0.256	0.528	-0.32	3.361	1.134	0.064	0.181	-0.192
GRB181121401	251.47	37.58	8.0	58443.400686286	0.192	0.516	-0.064	6.0643	0.9032	0.128	0.091	-0.064
GRB181125371	268.413	-2.613	0.05	58447.371316347	3.84	2.29	-1.792	3.6648	1.162	1.28	0.724	-1.28
GRB181126162	80.58	18.71	7.02	58448.161693865	1.664	0.453	-1.472	7.404	1.0236	1.152	0.181	-1.152
GRB181222841	311.15	22.86	1.6	58474.841405537	0.576	0.023	0.032	628.069	7.8313	0.112	0.023	0.144
GRB190226515	224.43	-8.61	5.11	58540.515111993	0.192	0.132	-0.032	11.0941	1.1355	0.16	0.072	0.0
GRB190323548	15.33	-3.88	12.13	58565.547972713	1.28	1.864	-0.512	3.8041	0.8296	0.768	0.572	-0.256
GRB190407788	202.74	-7.95	2.66	58580.787981223	2.432	0.779	0.0	30.7464	1.6136	0.576	0.181	0.448
GRB190427190	280.213	40.322	0.05	58600.190452323	0.368	0.072	-0.016	18.8148	1.9619	0.064	0.082	-0.016
GRB190504678	137.43	33.01	7.65	58607.678105479	0.704	0.528	-0.576	5.0404	1.0374	0.256	0.181	-0.256
GRB190505051	335.39	42.18	9.54	58608.05149687	0.032	0.025	-0.016	8.408	1.1311	0.016	0.011	-0.016
GRB190510430	128.13	33.55	3.54	58613.430046804	0.64	0.091	-0.064	8.8894	0.8451	0.384	0.143	0.064
GRB190515190	137.687	29.276	0.907	58618.18961962	1.264	0.471	-0.112	8.1743	0.8857	0.224	0.091	0.064
GRB190525032	338.02	5.45	4.04	58628.031801524	0.896	0.202	-0.064	8.0021	0.7541	0.448	0.143	0.064
GRB190531568	274.17	38.86	18.06	58634.568099793	0.32	0.943	-0.08	3.6159	1.3579	0.048	0.086	-0.064
GRB190601325	162.98	54.59	8.28	58635.324585368	0.64	0.749	-0.128	7.0909	0.9167	0.256	0.143	-0.064
GRB190605974	337.24	4.79	6.76	58639.973924975	3.584	0.516	-0.64	5.2199	1.3517	1.536	0.345	0.0
GRB190606080	76.54	-0.68	3.0	58640.079951114	0.224	0.036	0.0	119.089	2.7156	0.096	0.036	0.064
GRB190610834	314.83	-15.93	11.23	58644.833607463	3.072	2.36	-2.304	4.4964	1.1966	1.28	0.724	-1.792
GRB190630257	306.98	-1.33	7.65	58664.256924989	0.224	0.187	-0.16	14.1657	1.1468	0.096	0.045	-0.128
GRB190724031	170.35	15.15	13.62	58688.030518429	0.08	1.136	-0.032	9.0125	0.9422	0.032	0.023	-0.016
GRB190728271	356.69	5.43	5.69	58692.271259866	0.832	0.905	-0.64	18.602	1.9184	0.128	0.091	-0.064
GRB190822705	132.27	-8.08	12.49	58717.705198102	0.768	0.389	-0.128	6.7756	1.0451	0.128	0.202	-0.064
GRB190905985	234.48	3.12	3.62	58731.985051952	0.704	1.032	-0.576	11.6003	1.7385	0.256	0.202	-0.128
GRB190913155	253.34	44.97	12.99	58739.154969121	0.128	1.235	-0.096	9.9142	1.3349	0.032	0.045	-0.064
GRB190923617	8.2	-11.02	4.92	58749.616698509	3.584	0.779	-0.64	20.4652	1.5265	1.088	0.143	0.064
GRB191017957	134.55	15.33	12.39	58773.957182713	3.136	2.099	-0.32	4.9894	1.0398	0.448	0.272	0.0
GRB191028174	319.2	-11.29	8.75	58784.173627292	4.864	3.482	-0.768	5.1654	1.3021	2.048	0.572	0.0
GRB191031891	283.275	47.639	0.05	58787.891332502	0.256	0.023	0.0	48.7051	1.598	0.128	0.023	0.032
GRB191117637	157.417	7.2333	13.0667	58804.637249546	1.28	0.87	-0.512	5.4492	1.0904	0.64	0.286	-0.192
GRB191203290	332.39	51.81	34.25	58820.289804121	0.832	0.64	-0.448	3.9433	1.3086	0.448	0.231	-0.32
GRB200128153	158.65	41.57	18.95	58876.152844618	0.576	0.181	-0.192	14.125	2.3808	0.128	0.091	-0.064
GRB200221162	157.1	33.14	5.04	58900.161790639	1.728	1.336	-0.576	3.6624	1.4045	0.512	0.32	-0.256
GRB200224416	187.02	-19.55	12.52	58903.415793599	0.064	1.922	-0.032	6.9505	1.2275	0.032	0.045	-0.032
GRB200306934	349.53	5.1	27.95	58914.934320911	0.992	1.226	-0.512	7.3297	1.3198	0.096	0.132	-0.064
GRB200313456	202.17	40.5	5.27	58921.456390395	5.184	4.362	-0.256	8.8856	1.3986	0.832	0.389	0.0
GRB200327873	236.54	-4.217	3.6	58935.872779691	0.64	0.59	-0.064	19.1955	1.4208	0.128	0.091	0.0
GRB200407265	278.11	2.43	4.03	58946.265294925	3.072	0.5	-1.152	6.2515	1.2704	1.216	0.143	-0.064
GRB200420106	304.61	-20.27	27.3	58959.106233768	0.32	1.036	-0.224	3.119	1.0359	0.16	0.115	-0.128
GRB200514380	238.32	37.22	13.12	58983.380290785	1.664	0.607	-0.384	3.1173	0.8999	0.448	0.286	-0.192
GRB200626105	87.35	16.13	15.17	59026.105228609	3.52	1.548	-0.576	4.8968	1.0248	1.152	0.231	-0.256
GRB200703341	245.91	-7.37	8.92	59033.341430681	0.704	0.58	-0.064	12.4974	1.5035	0.256	0.181	0.0
GRB200706231	89.35	54.61	48.53	59036.23066349	0.832	0.577	-0.064	4.7058	1.0715	0.16	0.115	0.032
GRB200710036	77.88	3.98	16.6	59040.036192972	0.288	1.314	-0.128	6.5247	0.9445	0.064	0.258	-0.096
GRB200713919	231.04	-12.3	3.28	59043.918519587	5.12	2.172	-1.792	5.6277	1.4638	2.304	1.305	-0.768
GRB200714661	13.73	31.07	28.9	59044.661305483	3.328	2.202	-4.608	2.5493	0.9036	0.768	0.81	-3.328
GRB200818998	207.61	22.12	11.79	59079.998128904	4.096	1.864	-4.352	5.2615	1.3985	2.048	1.145	-3.584
GRB200824594	117.68	10.47	15.44	59085.594199283	3.584	4.104	-2.304	3.1425	1.048	1.024	0.81	-0.512
GRB200826187	4.67	35.29	1.74	59087.187414012	1.136	0.132	0.032	64.2526	2.0508	0.304	0.023	0.304
